iter	Passed	Remaining
628	1104	651
629	1105	649
630	1107	647
631	1109	645
632	1111	644
633	1112	642
634	1114	640
635	1116	638
636	1117	637
637	1119	635
638	1121	633
639	1123	631
640	1124	629
641	1126	627
642	1127	626
643	1129	624
644	1131	622
645	1133	620
646	1134	619
647	1136	617
648	1137	615
649	1139	613
650	1141	611
651	1143	610
652	1144	608
653	1146	606
654	1148	604
655	1150	603
656	1151	601
657	1153	599
658	1154	597
659	1156	595
660	1157	593
661	1159	591
662	1160	590
663	1162	588
664	1164	586
665	1166	584
666	1167	583
667	1169	581
668	1170	579
669	1172	577
670	1173	575
671	1175	573
672	1177	572
673	1179	570
674	1180	568
675	1182	566
676	1184	564
677	1185	563
678	1187	561
679	1189	559
680	1191	558
681	1193	556
682	1195	554
683	1196	552
684	1197	550
685	1199	548
686	1200	547
687	1202	545
688	1203	543
689	1205	541
690	1207	539
691	1208	538
692	1210	536
693	1212	534
694	1214	532
695	1216	531
696	1217	529
697	1219	527
698	1220	525
699	1222	523
700	1224	522
701	1225	520
702	1226	518
703	1228	516
704	1229	514
705	1231	512
706	1233	511
707	1235	509
708	1237	507
709	1238	505
710	1239	504
711	1241	502
712	1243	500
713	1244	498
714	1246	496
715	1247	494
716	1249	493
717	1250	491
718	1252	489
719	1253	487
720	1255	485
721	1257	484
722	1258	482
723	1260	480
724	1261	478
725	1263	476
726	1264	474
727	1265	472
728	1266	470
729	1268	469
730	1270	467
731	1271	465
732	1273	463
733	1274	462
734	1276	460
735	1277	458
736	1278	456
737	1280	454
738	1282	452
739	1284	451
740	1285	449
741	1287	447
742	1289	445
743	1290	444
744	1291	442
745	1293	440
746	1294	438
747	1296	436
748	1298	435
749	1299	433
750	1301	431
751	1303	429
752	1304	427
753	1305	425
754	1307	424
755	1308	422
756	1310	420
757	1312	418
758	1313	417
759	1315	415
760	1317	413
761	1318	411
762	1319	409
763	1320	407
764	1322	406
765	1323	404
766	1324	402
767	1326	400
768	1328	398
769	1329	397
770	1331	395
771	1333	393
772	1334	391
773	1335	389
774	1336	388
775	1337	386
776	1338	384
777	1339	382
778	1341	380
779	1342	378
780	1344	377
781	1346	375
782	1348	373
783	1349	371
784	1351	370
785	1353	368
786	1354	366
787	1356	365
788	1358	363
789	1359	361
790	1362	359
791	1363	358
792	1365	356
793	1367	354
794	1368	352
795	1370	351
796	1371	349
797	1373	347
798	1374	345
799	1376	344
800	1378	342
801	1380	340
802	1381	338
803	1383	337
804	1384	335
805	1386	333
806	1387	331
807	1389	330
808	1391	328
809	1393	326
810	1394	324
811	1395	323
812	1397	321
813	1399	319
814	1400	317
815	1402	316
816	1404	314
817	1406	312
818	1407	311
819	1409	309
820	1411	307
821	1412	305
822	1413	304
823	1415	302
824	1416	300
825	1418	298
826	1420	297
827	1422	295
828	1424	293
829	1425	292
830	1427	290
831	1428	288
832	1430	286
833	1432	285
834	1433	283
835	1435	281
836	1437	279
837	1438	278
838	1439	276
839	1441	274
840	1443	272
841	1444	271
842	1446	269
843	1447	267
844	1449	265
845	1451	264
846	1452	262
847	1454	260
848	1455	258
849	1457	257
850	1459	255
851	1461	253
852	1462	252
853	1464	250
854	1466	248
855	1467	246
856	1469	245
857	1470	243
858	1472	241
859	1474	239
860	1475	238
861	1477	236
862	1479	234
863	1480	233
864	1482	231
865	1483	229
866	1484	227
